trip_id,shape_id
12196018,280_1_13
12196032,280_1_13
12196051,290_0_13
12196041,290_0_13
12196042,290_0_13
12196043,290_0_13
12196044,290_0_13
12196045,290_0_13
12196057,290_0_13
12196046,290_0_13
12196058,290_0_13
12196053,290_0_13
12196047,290_0_13
12196049,290_0_13
12196054,290_0_13
12196048,290_1_12
12196040,290_1_12
12196034,290_1_12
12196035,290_1_12
12196036,290_1_12
12196056,290_1_12
12196037,290_1_12
12196050,290_1_12
12196038,290_1_12
12196039,290_1_12
12196055,290_1_12
12196059,290_1_12
12196052,290_1_12
12175254,115_2_74
12175273,115_2_74
12175257,115_2_74
12175276,115_2_74
12175260,115_2_74
12175279,115_2_74
12175263,115_2_74
12175282,115_2_74
12175266,115_2_74
12175285,115_2_74
12175269,115_2_74
12175288,115_2_74
12175253,115_3_73
12175272,115_3_73
12175256,115_3_73
12175275,115_3_73
12175259,115_3_73
12175278,115_3_73
12175262,115_3_73
12175281,115_3_73
12175265,115_3_73
12175284,115_3_73
12175268,115_3_73
12175287,115_3_73
12175205,832_8_6
12175218,832_8_6
12175208,832_8_6
12175221,832_8_6
12175211,832_8_6
12175224,832_8_6
12175214,832_8_6
12175227,832_8_6
12175217,832_8_6
12175207,833_0_30
12175220,833_0_30
12175210,833_0_30
12175223,833_0_30
12175213,833_0_30
12175226,833_0_30
12175216,833_0_30
12175229,833_0_30
12175206,833_1_34
12175219,833_1_34
12175209,833_1_34
12175222,833_1_34
12175212,833_1_34
12175225,833_1_34
12175215,833_1_34
12175228,833_1_34
12175104,855_0_20
12175105,855_0_20
12175106,855_0_20
12175107,855_0_20
12175121,855_0_20
12175122,855_0_20
12175123,855_0_20
12175124,855_0_20
12175125,855_0_20
12175126,855_0_20
12175127,855_0_20
12175128,855_0_20
12175129,855_0_20
12175130,855_0_20
12175108,855_1_23
12175109,855_1_23
12175110,855_1_23
12175111,855_1_23
12175112,855_1_23
12175113,855_1_23
12175114,855_1_23
12175115,855_1_23
12175116,855_1_23
12175117,855_1_23
12175118,855_1_23
12175119,855_1_23
12175120,855_1_23
12175131,856_0_89
12175143,856_0_89
12175133,856_0_89
12175145,856_0_89
12175135,856_0_89
12175147,856_0_89
12175137,856_0_89
12175149,856_0_89
12175139,856_0_89
12175151,856_0_89
12175141,856_0_89
12175153,856_0_89
12175132,856_1_93
12175144,856_1_93
12175134,856_1_93
12175146,856_1_93
12175136,856_1_93
12175148,856_1_93
12175138,856_1_93
12175150,856_1_93
12175140,856_1_93
12175152,856_1_93
12175142,856_1_93
12175154,856_1_93
12175186,864_2_154
12175182,864_2_154
12175188,864_2_154
12175184,864_2_154
12175190,864_2_154
12175192,864_2_154
12175199,864_2_154
12175194,864_2_154
12175201,864_2_154
12175196,864_2_154
12175203,864_2_154
12175198,864_2_155
12175181,864_3_153
12175187,864_3_152
12175183,864_3_152
12175189,864_3_152
12175185,864_3_152
12175191,864_3_152
12175193,864_3_152
12175200,864_3_152
12175195,864_3_152
12175202,864_3_152
12175197,864_3_152
12175204,864_3_152
12175255,872_9_21
12175274,872_9_21
12175258,872_9_21
12175277,872_9_21
12175261,872_9_21
12175280,872_9_21
12175264,872_9_21
12175283,872_9_21
12175267,872_9_21
12175286,872_9_21
12175168,921_2_68
